exam_year,exam_session,exam_course,question_number,content,answer,explanation,subject
2024,52,1교시,1,결합조직 황색섬유 동맥 허파 분포 섬유는? ① 아교섬유 ② 탄력섬유 ③ 그물섬유 ④ 근원섬유 ⑤ 근육잔섬유,② 탄력섬유,"결합조직 섬유 특징 문제 핵심 단서: 황색섬유 신축성 요구 (동맥 허파)
① 아교섬유: 백색섬유 강한 장력 (인대 힘줄)
② 탄력섬유: 황색섬유 탄력성 (동맥 허파)
③ 그물섬유: 그물조직, 기관 지지 (림프절, 지라)
④⑤ 근원섬유/근육잔섬유: 근육 수축 요소 (결합조직 아님)",해부생리학
2024,52,1교시,2,뼈조직 흡수 골수공간 혈관 신경 통로 만드는 것은? ① 뼈세포 ② 뼈모세포 ③ 뼈바탕질 ④ 뼈파괴세포 ⑤ 뼈형성세포,④ 뼈파괴세포,"뼈 재형성 관여 세포 기능 문제 핵심 단서: 뼈조직 흡수 통로 만듦 (뼈 재흡수)
① 뼈세포: 성숙 뼈세포 뼈 유지 영양 공급
② 뼈모세포: 뼈 생성 세포 (조골세포) 흡수 반대
③ 뼈바탕질: 뼈 구성 기질 (세포 아님)
④ 뼈파괴세포: 뼈 파괴 흡수 (파골세포) 골수공간 통로 형성
⑤ 뼈형성세포: 뼈모세포 분화 전 줄기세포",해부생리학
2024,52,1교시,3,성별 골반 구조 옳은 설명은? ① 두덩밑각 여성 작다 ② 골반출구 여성 좁다 ③ 두덩결합 남성 짧다 ④ 위골반문 여성 심장형 남성 타원형 ⑤ 폐쇄구멍 여성 세모형 남성 타원형,⑤ 폐쇄구멍은 여성은 세모형 남성은 타원형이다,"남녀 골반 구조 차이 (여성: 출산 적합)
① 두덩밑각: 여성 넓음 남성 좁음
② 골반출구: 여성 넓음 (출산)
③ 두덩결합: 여성 짧음 (남성 김)
④ 위골반문: 여성 타원형 남성 심장형 (설명 반대)
⑤ 폐쇄구멍: 여성 세모형 남성 타원형 (옳은 설명)",해부생리학
2024,52,1교시,4,윤활관절 옳은 설명은? ① 관절면 섬유연골 ② 윤활액 마찰 감소 ③ 아교섬유 뼈사이막 연결 ④ 관절원반 일치성 감소 ⑤ 관절주머니 바깥층 윤활막,② 윤활액은 관절의 마찰을 감소시킨다,"윤활관절 구조 특징 문제
① 관절면: 유리연골 (섬유연골 아님)
② 윤활액: 마찰 감소 영양 공급 (옳은 설명)
③ 아교섬유 뼈사이막: 섬유관절 (인대결합) 설명
④ 관절원반: 일치성 증가 안정화
⑤ 관절주머니: 바깥층 섬유막 안쪽층 윤활막",해부생리학
2024,52,1교시,5,엉덩관절 관절주머니 뒤쪽 보강 나선형 인대는? ① 절구가로인대 ② 엉덩넙다리인대 ③ 두덩넙다리인대 ④ 궁둥넙다리인대 ⑤ 넙다리뼈머리인대,④ 궁둥넙다리인대,"엉덩관절 보강 인대 위치 문제
① 절구가로인대: 절구패임 가로지름
② 엉덩넙다리인대: Y자형 앞쪽 보강 (가장 강력)
③ 두덩넙다리인대: 앞아래쪽 보강
④ 궁둥넙다리인대: 뒤쪽 보강 나선형 주행
⑤ 넙다리뼈머리인대: 관절 안 (관절주머니 밖) 혈관 운반
핵심: 뒤쪽 나선형 인대는 궁둥넙다리인대",해부생리학
2024,52,1교시,6,등세모근에 관한 설명으로 옳은 것은? ① 가슴등신경의 지배를 받는다 ② 닿는곳은 어깨뼈의 안쪽모서리이다 ③ 위등세모근은 어깨뼈를 위로 올린다 ④ 중간등세모근은 어깨뼈를 앞으로 내민다 ⑤ 큰마름근과 작은마름근보다 깊은 층에 위치한다,③ 위등세모근은 어깨뼈를 위로 올린다,"등세모근(Trapezius) 기능 해부학 문제
① 지배신경: 더부신경 (Accessory nerve)
② 닿는곳: 빗장뼈가쪽 어깨뼈봉우리 어깨뼈가시
④ 중간등세모근: 어깨뼈 뒤당김 (Retraction)
⑤ 위치: 마름근보다 얕은 층 (가장 얕음)",해부생리학
2024,52,1교시,7,"다음에서 설명하는 근육은? • 이는곳: 위팔뼈의 안쪽위관절융기, 자뼈의 갈고리돌기 • 닿는곳: 노뼈 몸통의 가쪽면 • 신경지배: 정중신경 ① 원엎침근 ② 긴손바닥근 ③ 자쪽손목굽힘근 ④ 깊은손가락굽힘근 ⑤ 얕은손가락굽힘근",① 원엎침근,제시된 이는곳 닿는곳 신경지배는 원엎침근(Pronator teres)의 특징 원엎침근은 아래팔 엎침(Pronation) 작용,해부생리학
2024,52,1교시,8,두덩뼈 위가지에서 시작하여 넙다리뼈 두덩근선에 닿는 근육은? ① 두덩근 ② 반힘줄근 ③ 넙다리빗근 ④ 두덩정강근 ⑤ 넙다리곧은근,① 두덩근,엉덩관절 모음근(Adductor) 중 하나 두덩뼈 위가지에서 시작해 넙다리뼈 두덩근선에 닿는 근육은 두덩근(Pectineus),해부생리학
2024,52,1교시,9,정맥에 관한 설명으로 옳은 것은? ① 정맥은 동맥보다 중간막이 두껍다 ② 정맥판막은 혈액의 역류를 방지한다 ③ 정맥은 동맥보다 혈관벽의 탄력막이 두껍다 ④ 정맥은 높은 압력을 유지할 수 있는 압력혈관이다 ⑤ 허파정맥은 산소가 적은 혈액을 운반한다,② 정맥판막은 혈액의 역류를 방지한다,"정맥과 동맥 특징 비교 문제
①③ 혈관벽: 동맥이 정맥보다 중간막과 탄력막이 두꺼움 (고압 견딤)
② 판막: 정맥은 혈압이 낮아 혈액 역류 방지용 판막 존재
④ 압력: 동맥이 압력혈관 정맥은 용량혈관
⑤ 허파정맥: 허파에서 심장(왼심방)으로 산소 많은 피(동맥혈) 운반",해부생리학
2024,52,1교시,10,허파의 구조 중 혀구역(lingular segment)이 있는 곳은? ① 왼허파 위엽 ② 왼허파 아래엽 ③ 오른허파 위엽 ④ 오른허파 중간엽 ⑤ 오른허파 아래엽,① 왼허파 위엽,허파 구역 해부학 문제 혀구역(Lingula)은 오른허파의 중간엽(Middle lobe)에 상응하는 부위 왼허파(Left lung)는 2개엽 혀구역은 왼허파 위엽(Left upper lobe)에 포함됨,해부생리학
